h,T,lambda,M,s
24776.10569,-108385426.6,0.0002549,1.860585573,-0.001582141
25332.22328,-69900759.99,0.0002549,1.861467411,-0.000929859
22113.30036,-78994648.03,0.0002549,1.857422393,-0.001083992
10862.67513,-2875499.067,0.0002549,1.84328444,0.000206163
31025.93095,-18426808.9,0.000255,1.868805335,-5.73188E-05
7399.932925,-98823232.93,4.00E-06,0.23457203,-0.00167097
372.4416039,-73228188.42,1.00E-07,0.015657024,-0.001241056
4879.648229,-44428903.22,3.21E-05,0.382745947,-0.000720932
30730.79825,-97400569.13,0.0002549,1.86825146,-0.001395957
26591.15561,-4900105.245,0.0002549,1.863049432,0.000171847
18831.40755,-19267443.81,0.0002549,1.853481245,-7.16668E-05
5594.759917,-8923764.354,0.0002548,1.836481583,0.00010355
17372.14056,-24055245,0.0002549,1.851647476,-0.000152816
27858.22148,-1779005.062,0.0002549,1.864641674,0.000224747
16846.81109,-97003649.75,0.0002547,1.850072327,-0.00138943
15096.03896,-39703891.55,0.0002549,1.848421242,-0.000418047
31467.03714,-62266819.2,0.0002549,1.869176645,-0.00080047
15886.68021,-51811790.56,0.0002549,1.849597791,-0.000623266
25813.75538,-75279296.53,0.0002549,1.862072522,-0.00102102
25382.14278,-33180379.1,0.000255,1.861713141,-0.000307379
8294.985896,-110420140.5,4.70E-06,0.252715787,-0.001866828
16109.2733,-1804227.374,0.0002549,1.85006051,0.00022432
23151.68814,-95175788.67,0.0002549,1.858544269,-0.001358249
22331.95468,-42424783.31,0.0002549,1.857697162,-0.000464164
26357.50886,-33688618.3,0.000255,1.862938822,-0.000315994
20368.22564,-49776601.58,0.0002549,1.855229467,-0.000588771
31488.27654,-73154272.14,0.0002549,1.869386335,-0.000985003
14829.416,-108577682.9,0.0002148,1.616225194,-0.0016255
25165.04908,-82058687.5,0.0002549,1.861074333,-0.001135925
9336.096028,-103957054.9,6.10E-06,0.290441084,-0.001755884
15303.74935,-6060524.526,0.0002549,1.848865259,0.000152179
10564.86471,-62525757.15,0.0002543,1.839433201,-0.000805459
15684.4399,-36839730.23,0.0002549,1.849343648,-0.000369502
1696.065379,-16578085.6,4.19E-05,0.362275339,-0.000239085
21751.36048,-112500672.9,0.0002548,1.856601566,-0.001651991
30582.8887,-23593690.55,0.0002549,1.868248591,-0.000144993
11943.735,-24921343.3,0.0002549,1.84464294,-0.000167496
10909.31738,-106034020.6,8.50E-06,0.338534053,-0.001788687
8206.198002,-47282482.55,0.0002537,1.832809213,-0.000547698
29667.36313,-105212660,0.0002549,1.866732108,-0.001528365
6230.015613,-35474338.98,0.0002515,1.817149869,-0.00034976
25562.69503,-25403658.64,0.000255,1.86175703,-0.00017557
28026.0776,-55991755.38,0.000255,1.865035608,-0.000694013
31019.30775,-29283682.06,0.0002549,1.868797012,-0.000241434
8211.751163,-71690121.79,2.92E-05,0.431951191,-0.001185887
28472.99702,-31214216.08,0.000255,1.865597223,-0.000274055
28061.03223,-29777536.93,0.000255,1.864896533,-0.000249704
5784.785402,-95291037.25,2.70E-06,0.186243376,-0.001612402
14442.44458,-56258691.5,0.0002549,1.847599911,-0.000698637
7449.589634,-92936612.45,4.40E-06,0.24085643,-0.001570797
25871.33905,-119765208.4,0.0002548,1.861961883,-0.001775119
24340.39333,-107702538.7,0.0002549,1.86003804,-0.001570567
13744.38238,-100215448.1,0.0002198,1.6424947,-0.001478767
24136.53,-57647527.26,0.0002549,1.859964858,-0.000722177
23936.50734,-45280864.19,0.000255,1.859713502,-0.000512472
2330.629904,-41234868.43,8.00E-07,0.094245756,-0.000698096
9857.40211,-30603124.08,0.0002549,1.842021177,-0.000263797
21946.63837,-47791330.6,0.0002549,1.857212959,-0.000555123
7231.374444,-19440900.6,0.0002549,1.838538213,-7.46068E-05
4803.058528,-23773926.31,0.0002518,1.816271701,-0.000151148
12727.95909,-75034120.19,0.0002546,1.843798425,-0.001017165
21005.89276,-115589218.2,0.0002548,1.855481783,-0.001704339
24736.179,-55152202.37,0.0002549,1.860718399,-0.000679883
16734.39684,-25876719.77,0.0002549,1.850663063,-0.000183688
16688.6374,-28957192.89,0.0002549,1.85060556,-0.0002359
27678.06873,-18328393.23,0.0002549,1.864598287,-5.57507E-05
26244.15389,-66917729.1,0.0002549,1.862796376,-0.000879299
12755.4213,-56906662.98,0.0002548,1.845479935,-0.00070972
24890.48314,-78620281.6,0.0002549,1.860912304,-0.001077647
8488.721205,-13793284.86,0.0002549,1.840301242,2.11155E-05
10570.21574,-109332011.2,7.60E-06,0.322552925,-0.001845485
22449.00642,-83503159.55,0.0002548,1.857661253,-0.001160508
8796.178706,-5334734.282,0.0002549,1.840687604,0.000164481
13779.16037,-72573383.53,0.0002547,1.846400404,-0.000975357
24117.92885,-101089599.1,0.0002549,1.859758483,-0.001458483
27345.67694,-72763434.87,0.0002549,1.863997591,-0.000978379
26069.82418,-95156937.45,0.0002549,1.862394307,-0.001357929
23212.31353,-78877713.58,0.0002549,1.858620453,-0.00108201
7352.366935,-54868720.06,0.0001857,1.403882257,-0.000744278
16438.13324,-80413402.81,0.0002548,1.849924767,-0.001108139
26397.90852,-11528660.61,0.0002549,1.86280659,5.9499E-05
